split,speakerID,filename,text,gender,local_path,duration_sec,sample_rate,channels,peak,rms,qc_status,qc_note
test,spk_37_0224,37_0300.wav,Cũng chia sẻ thật là tôi cũng có một đứa cháu ruột Hiện tại cũng đang học cùng lớp với con gái của tôi Nhưng bạn cháu ruột của tôi thì có học lực nó chỉ ở mức độ trung bình thôi.,0,data/dataset_nghean/test/spk_37_0224/37_0300.wav,10.398,48000,2,0.964996337890625,0.11437495052814484,pass,
test,spk_37_0259,37_0341.wav,"Hiện tại thì Yên Thành cũng đã ưu tiên thu hút một số các cái nhà đầu tư, các đô thị hiện đại, cùng với các cái khu dân cư, nông thôn tập trung ở các trung tâm kinh tế của xã. ",1,data/dataset_nghean/test/spk_37_0259/37_0341.wav,13.417,48000,2,0.942718505859375,0.07722625881433487,pass,
test,spk_37_0262,37_0345.wav,Cái khu nam sông Vinh được quy hoạch thành khu vực đô thị vừa khu sinh thái. Thể hiện sự dung hòa giữa hai ý kiến. Mức độ yêu cầu phát triển thành phố và hai là mức độ môi trường sinh thái cho thành phố.,1,data/dataset_nghean/test/spk_37_0262/37_0345.wav,13.793,48000,2,0.74554443359375,0.08763296902179718,pass,
test,spk_37_0267,37_0351.wav,hai mươi sáu cái chợ này là đều là rất lợi thế về thương mại do đó là phải nâng cao cơ sở vật chất để đáp ứng cái nhu cầu kinh doanh của các hộ tiểu thương Thứ hai nữa là sẽ cụ thể hóa.,1,data/dataset_nghean/test/spk_37_0267/37_0351.wav,13.389,48000,2,0.8084716796875,0.06266152113676071,pass,
test,spk_37_0269,37_0354.wav,"Trong năm hai nghìn không trăm mười chín ấy, Yên Thành được ủy ban Nhân dân tỉnh phê duyệt hai quy hoạch lớn đó là quy hoạch vùng huyện và quy hoạch nông nghiệp huyện.",1,data/dataset_nghean/test/spk_37_0269/37_0354.wav,8.999,48000,2,0.75360107421875,0.07022645324468613,pass,
test,spk_37_0275,37_0362.wav,"Thành phố cũng muốn tạo ra một cái điểm văn hóa để cho người dân vui chơi, vui Tết đón xuân. Trong khi mọi cái hoạt động lễ hội khác chúng ta vì công tác phòng chống dịch nên tạm dừng cho đến hết tháng ba.",0,data/dataset_nghean/test/spk_37_0275/37_0362.wav,13.277,48000,2,0.580322265625,0.0844080001115799,pass,
train,spk_37_0008,37_0009.wav,Khi các trung tâm thẩm mỹ viện mà xảy ra các sự cố mà mình tham khảo trên thị trường thì mình cũng rất là lo lắng.,0,data/dataset_nghean/train/spk_37_0008/37_0009.wav,9.086009070294784,44100,2,0.980682373046875,0.2827744781970978,pass,
train,spk_37_0010,37_0014.wav,Những cái trường hợp nào không được phép hoạt động và những trường hợp nào không được phép thực hiện tại cơ sở thì chúng tôi đều tuân thủ những quy định của pháp luật,1,data/dataset_nghean/train/spk_37_0010/37_0014.wav,10.838004535147393,44100,2,0.9907073974609375,0.2730553150177002,pass,
train,spk_37_0025,37_0034.wav,"Thực hiện sự chỉ đạo của lãnh đạo công an tỉnh, công an thành phố Vinh và chính quyền Phường Hồng Sơn đã triển khai các giải pháp để đảm bảo công tác phòng cháy chữa cháy, đặc biệt trong mùa nắng nóng..",1,data/dataset_nghean/train/spk_37_0025/37_0034.wav,11.943990929705215,44100,2,0.9812774658203125,0.18878556787967682,pass,
train,spk_37_0025,37_0035.wav,"Thời gian vừa qua đã tuyên truyền vận động các hộ kinh doanh, nhà ở kết hợp kinh doanh lắp đặt hệ thống tổ liên gia an toàn phòng cháy chữa cháy.",1,data/dataset_nghean/train/spk_37_0025/37_0035.wav,10.510997732426304,44100,2,0.98175048828125,0.22438928484916687,pass,
train,spk_37_0038,37_0051.wav,Theo dự kiến của Quý ba năm hai nghìn không trăm hai ba này thì Bến xe phía Nam thành phố Vinh sẽ đưa vào hoạt động,1,data/dataset_nghean/train/spk_37_0038/37_0051.wav,8.31,44100,2,0.964935302734375,0.16414731740951538,pass,
train,spk_37_0048,37_0062.wav,Qua quá trình thực hiện các dự án trên địa bàn thì cũng được cư dân là đồng tình ủng hộ rất là cao,1,data/dataset_nghean/train/spk_37_0048/37_0062.wav,5.999,48000,2,0.9569091796875,0.17525210976600647,pass,
train,spk_37_0080,37_0106.wav,Bên cạnh đó thì là các cái văn hóa công viên nhỏ thì chúng tôi cũng sẽ phải nghiên cứu và tham mưu cho thành phố là về tập trung lại một cái đầu mối quản lý cũng như là có các cái giải pháp để cải tạo nâng cấp nó mang tính đồng bộ hơn.,1,data/dataset_nghean/train/spk_37_0080/37_0106.wav,11.727,48000,2,0.6917724609375,0.04699483513832092,pass,
train,spk_37_0096,37_0130.wav,Thành phố cũng đã ban hành đề án quản lý hành chính khu chung cư của đô thị mới Trong đó cũng đề xuất rất là nhiều giải pháp về vấn đề sáp nhập các cái khu chung cư vào khối xóm hiện có liền kề.,1,data/dataset_nghean/train/spk_37_0096/37_0130.wav,13.623,48000,2,0.33831787109375,0.05758272483944893,pass,
