split,speakerID,filename,text,local_path,duration_sec,sample_rate,channels,peak,rms,qc_status
test,spk_15_0193,15_0263.wav,"Trường Trung học phổ thông Kiến Thụy là một trong những ngôi trường có bề dày lịch sử truyền thống rất là nhiều năm qua và đặc biệt trong hai năm gần đây thì việc học tập làm theo bác được nhà trường thực hiện rất là bài bản, rất là nghiêm túc, triển khai rất là đầy đủ theo đúng tất cả các bước, theo tinh thần của huyện ủy Kiến Thụy chỉ đạo.",D:\hustmedia\python\tts\vie_neu\train\vimd_haiphong\test\spk_15_0193\15_0263.wav,19.685,32000,2,0.54296875,0.054205095127223865,pass:duration_preference_outside_4_15s
test,spk_15_0193,15_0264.wav,"Nhà trường đã rèn luyện được phẩm chất đạo đức cho cán bộ giáo viên và học sinh, là một trong những trường học đầu tiên trên địa bàn thành phố tổ chức kết nạp Đảng cho học sinh.",D:\hustmedia\python\tts\vie_neu\train\vimd_haiphong\test\spk_15_0193\15_0264.wav,10.615,32000,2,0.64935302734375,0.06711890189656906,pass
test,spk_15_0208,15_0280.wav,"là nguồn lực của thành phố, nguồn lực của xã hội và nguồn lực của các doanh nghiệp để vào đầu tư và phát triển Kiến An. Thế rồi cái thứ ba nữa là chúng tôi đã tập trung cao, đó là quan tâm đến các cái chính sách, rồi đội ngũ cán bộ để quá trình tổ chức triển khai thực hiện nhiệm vụ.",D:\hustmedia\python\tts\vie_neu\train\vimd_haiphong\test\spk_15_0208\15_0280.wav,16.759002267573695,44100,2,0.6710205078125,0.050328698012735595,pass:duration_preference_outside_4_15s
test,spk_15_0208,15_0281.wav,Giải pháp mà đã thực hiện trong nửa nhiệm kỳ đầu đó là chúng tôi đã cụ thể hóa được các cái chương trình kế hoạch trên cơ sở các nhiệm vụ và từ việc đó thì cũng đã phân công rõ người rõ việc và bên cạnh đó cũng huy động được mọi nguồn lực,D:\hustmedia\python\tts\vie_neu\train\vimd_haiphong\test\spk_15_0208\15_0281.wav,15.781995464852608,44100,2,0.63275146484375,0.06461172386752344,pass:duration_preference_outside_4_15s
test,spk_15_0216,15_0289.wav,cái mặt đường của chợ con đó là cái vỉa hè của chỗ chợ để kinh doanh buôn bán thì cái này thì cũng là cái nhức nhối mà cũng cái là cái có rất nhiều ý kiến của nhân dân hoặc là ý kiến của cử tri về vấn đề mất trật tự an toàn giao thông.,D:\hustmedia\python\tts\vie_neu\train\vimd_haiphong\test\spk_15_0216\15_0289.wav,18.783990929705215,44100,2,0.768890380859375,0.06321840977895421,pass:duration_preference_outside_4_15s
test,spk_15_0216,15_0290.wav,các cái hộ kinh doanh ở trong chợ thì đã có cái điểm kinh doanh ở trong chợ rồi nhưng đôi khi là cái tình trạng buôn bán là nó ế ẩm nên là đôi khi là họ có di chuyển một ít mặt hàng kinh doanh ở trong chợ ra ngoài,D:\hustmedia\python\tts\vie_neu\train\vimd_haiphong\test\spk_15_0216\15_0290.wav,16.400997732426305,44100,2,0.8043212890625,0.07000492294703098,pass:duration_preference_outside_4_15s
test,spk_15_0217,15_0291.wav,"Với mười tám chỉ tiêu cho nghị quyết đại hội xác định là đã có sáu chỉ tiêu hoàn thành vượt mức thì chúng tôi vẫn tiếp tục chỉ đạo triển khai để đạt được một kết quả cao nhất khi kết thúc nghị quyết đại hội. Cái thứ hai với mười hai chỉ tiêu còn lại thì chúng tôi đang tập trung để rà soát, bên cạnh đó sẽ có một chỉ đạo một cách quyết liệt. Đối với từng chỉ tiêu, trong đó chúng tôi đã có những cái điều chỉnh, những chỉ tiêu mang tính nhất hết sức tiên tiến",D:\hustmedia\python\tts\vie_neu\train\vimd_haiphong\test\spk_15_0217\15_0291.wav,27.711995464852606,44100,2,0.707855224609375,0.06214524334024724,pass:duration_preference_outside_4_15s
test,spk_15_0217,15_0292.wav,"như là giảm hộ nghèo theo nghị quyết đại hội nhiệm kỳ hai mươi hai năm. Đến năm hai nghìn không trăm hai năm, quận Kiến An còn không phẩy hai phần nghìn hộ nghèo. Nhưng chúng tôi xác định đến năm hai ngàn không trăm hai năm thì sẽ không còn hộ nghèo theo chuẩn đa chiều.",D:\hustmedia\python\tts\vie_neu\train\vimd_haiphong\test\spk_15_0217\15_0292.wav,13.54,44100,2,0.544921875,0.05549254889090603,pass
test,spk_15_0217,15_0293.wav,"Thế rồi cái thứ hai đó là về phát triển đảng. Phấn đấu là từ năm hai nghìn hai ba sẽ có chín mươi phần trăm tổ chức đảng hoàn thành tốt nhiệm vụ. Và trong đó có hai mươi phần trăm tổ chức đảng hoàn thành xuất sắc nhiệm vụ. Tăng cường nguồn lực ngân sách, đáp ứng yêu cầu đầu tư cho các hạng mục công trình và để cho phát triển Kiến An.",D:\hustmedia\python\tts\vie_neu\train\vimd_haiphong\test\spk_15_0217\15_0293.wav,17.210997732426303,44100,2,0.870391845703125,0.05432677294878458,pass:duration_preference_outside_4_15s
test,spk_15_0218,15_0294.wav,"Ngay từ cuối năm hai không hai mốt, đảng Bộ quận ngô quyền giao cho uỷ ban xây dựng đề án phát triển kinh tế gắn với tăng thu ngân sách. Tôi xây dựng một số hệ thống cái ví dụ như quản lý thông tin đến từng hộ kinh doanh theo thời gian thực. Thứ hai là cũng phát triển một số mô hình kinh tế tuần hoàn trong cộng đồng.",D:\hustmedia\python\tts\vie_neu\train\vimd_haiphong\test\spk_15_0218\15_0294.wav,20.273990929705214,44100,2,0.877532958984375,0.058396585859332176,pass:duration_preference_outside_4_15s
