split,speakerID,filename,text,gender,local_path,duration_sec,sample_rate,channels,peak,rms,qc_status,qc_note
test,spk_37_0224,37_0300.wav,Cũng chia sẻ thật là tôi cũng có một đứa cháu ruột Hiện tại cũng đang học cùng lớp với con gái của tôi Nhưng bạn cháu ruột của tôi thì có học lực nó chỉ ở mức độ trung bình thôi.,0,data/dataset_nghean\test\spk_37_0224\37_0300.wav,10.398,48000,2,0.964996337890625,0.11437495052814484,pass,
test,spk_37_0249,37_0330.wav,"Đây là cái xu hướng tất yếu và phù hợp với cái xu thế là phát triển của kinh tế thị trường và tốc độ phát triển kinh tế xã hội của tỉnh nghệ an các địa phương để rà soát, xây dựng các quy hoạch định hướng phát triển hệ thống hạ tầng thương mại dịch vụ.",1,data/dataset_nghean\test\spk_37_0249\37_0330.wav,17.835,48000,2,0.965850830078125,0.09547992795705795,pass,duration_outside_4_15s
test,spk_37_0259,37_0341.wav,"Hiện tại thì Yên Thành cũng đã ưu tiên thu hút một số các cái nhà đầu tư, các đô thị hiện đại, cùng với các cái khu dân cư, nông thôn tập trung ở các trung tâm kinh tế của xã. ",1,data/dataset_nghean\test\spk_37_0259\37_0341.wav,13.417,48000,2,0.942718505859375,0.07722625881433487,pass,
test,spk_37_0262,37_0345.wav,Cái khu nam sông Vinh được quy hoạch thành khu vực đô thị vừa khu sinh thái. Thể hiện sự dung hòa giữa hai ý kiến. Mức độ yêu cầu phát triển thành phố và hai là mức độ môi trường sinh thái cho thành phố.,1,data/dataset_nghean\test\spk_37_0262\37_0345.wav,13.793,48000,2,0.74554443359375,0.08763296902179718,pass,
test,spk_37_0267,37_0351.wav,hai mươi sáu cái chợ này là đều là rất lợi thế về thương mại do đó là phải nâng cao cơ sở vật chất để đáp ứng cái nhu cầu kinh doanh của các hộ tiểu thương Thứ hai nữa là sẽ cụ thể hóa.,1,data/dataset_nghean\test\spk_37_0267\37_0351.wav,13.389,48000,2,0.8084716796875,0.06266152113676071,pass,
test,spk_37_0269,37_0354.wav,"Trong năm hai nghìn không trăm mười chín ấy, Yên Thành được ủy ban Nhân dân tỉnh phê duyệt hai quy hoạch lớn đó là quy hoạch vùng huyện và quy hoạch nông nghiệp huyện.",1,data/dataset_nghean\test\spk_37_0269\37_0354.wav,8.999,48000,2,0.75360107421875,0.07022645324468613,pass,
test,spk_37_0270,37_0356.wav,Quy hoạch tỉnh là một cái nhiệm vụ rất là đặc biệt quan trọng Và được xác định là nhiệm vụ số một trong những chương trình hành động thực hiện nghị quyết mười chín của Đại hội tỉnh đảng bộ. Tỉnh Ủy ban là chỉ đạo sở đầu tư tiến hành các cái nội dung cần thiết Để mà xây dựng cái đề cương và cũng như là phê duyệt cái đề cương Để trình cấp cầu thẩm quyền phê duyệt.,1,data/dataset_nghean\test\spk_37_0270\37_0356.wav,18.652,48000,2,0.806060791015625,0.08891964703798294,pass,duration_outside_4_15s
test,spk_37_0275,37_0362.wav,"Thành phố cũng muốn tạo ra một cái điểm văn hóa để cho người dân vui chơi, vui Tết đón xuân. Trong khi mọi cái hoạt động lễ hội khác chúng ta vì công tác phòng chống dịch nên tạm dừng cho đến hết tháng ba.",0,data/dataset_nghean\test\spk_37_0275\37_0362.wav,13.277,48000,2,0.580322265625,0.0844080001115799,pass,
train,spk_37_0006,37_0006.wav,"Phòng văn hóa thông tin chúng tôi đã tham mưu ủy ban nhân dân thị xã Cửa Lò. Trong cái quy hoạch thì dành những cái quỹ đất ban hành các cái chủ trương chính sách, khuyến khích các cái nhà đầu tư, đầu tư vào các cái khu vui chơi giải trí dành cho trẻ em..",1,data/dataset_nghean\train\spk_37_0006\37_0006.wav,16.101995464852607,44100,2,0.562164306640625,0.0842757448554039,pass,duration_outside_4_15s
train,spk_37_0006,37_0007.wav,"Và đặc biệt trong quy hoạch ở khu vực phía đông đường Bình Minh, khu Lâm Viên bãi tắm ấy. Ngoài những cái không gian dành cho các nhà hàng, khách sạn, câu lạc bộ biển thì chúng tôi rất quan tâm đến vấn đề dành cái không gian và cái khoản đầu tư để xây dựng cái khu vui chơi giải trí dành cho trẻ em",1,data/dataset_nghean\train\spk_37_0006\37_0007.wav,21.070997732426303,44100,2,0.545745849609375,0.08108214288949966,pass,duration_outside_4_15s
